id,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated,time_stamp
fetch-ai,Artificial Superintelligence Alliance,1.54,4019108030,339473191.0,1.65,1.54,-2.25868,2025-01-07T12:32:20.463Z,07-01-2025_18-11-46
virtual-protocol,Virtuals Protocol,3.83,3827437736,570496357.0,4.4,3.81,-7.36704,2025-01-07T12:32:20.163Z,07-01-2025_18-11-46
arbitrum,Arbitrum,0.895782,3773023753,411701781.0,0.950441,0.895664,-5.40338,2025-01-07T12:32:17.478Z,07-01-2025_18-11-46
mantra-dao,MANTRA,3.91,3748861712,51115950.0,4.09,3.89,-0.84631,2025-01-07T12:32:17.769Z,07-01-2025_18-11-46
tokenize-xchange,Tokenize Xchange,46.72,3737201498,27301461.0,47.12,46.49,-0.16278,2025-01-07T12:32:17.023Z,07-01-2025_18-11-46
monero,Monero,201.28,3710265367,55937747.0,206.11,199.69,-1.08762,2025-01-07T12:32:13.486Z,07-01-2025_18-11-46
filecoin,Filecoin,5.98,3709130635,305906815.0,6.14,5.92,-1.03928,2025-01-07T12:32:20.535Z,07-01-2025_18-11-46
ethena,Ethena,1.15,3483345056,451907911.0,1.25,1.15,-5.08819,2025-01-07T12:32:20.483Z,07-01-2025_18-11-46
dai,Dai,0.999345,3444312647,67728962.0,1.007,0.99635,0.0401,2025-01-07T12:32:19.325Z,07-01-2025_18-11-46
algorand,Algorand,0.41137,3431833255,290474095.0,0.43023,0.404478,0.30935,2025-01-07T12:32:18.036Z,07-01-2025_18-11-46
kaspa,Kaspa,0.121734,3102926040,82956601.0,0.126703,0.121506,-0.78551,2025-01-07T12:32:11.794Z,07-01-2025_18-11-46
okb,OKB,50.32,3018128891,6998068.0,51.27,50.3,-0.58233,2025-01-07T12:32:14.348Z,07-01-2025_18-11-46
cosmos,Cosmos Hub,7.45,2910571367,223525764.0,7.72,7.36,0.13803,2025-01-07T12:32:19.881Z,07-01-2025_18-11-46
optimism,Optimism,2.07,2801667306,320165197.0,2.18,2.07,-0.83767,2025-01-07T12:32:15.073Z,07-01-2025_18-11-46
blockstack,Stacks,1.76,2648222116,145873851.0,1.87,1.76,-1.93787,2025-01-07T12:32:18.039Z,07-01-2025_18-11-46
celestia,Celestia,5.45,2619543352,157397410.0,5.65,5.37,0.02806,2025-01-07T12:32:19.168Z,07-01-2025_18-11-46
pudgy-penguins,Pudgy Penguins,0.04116,2590801492,690529568.0,0.04625862,0.04113401,-9.51001,2025-01-07T12:32:15.734Z,07-01-2025_18-11-46
bonk,Bonk,3.356e-05,2560213019,297931358.0,3.611e-05,3.356e-05,-2.02014,2025-01-07T12:32:19.286Z,07-01-2025_18-11-46
injective-protocol,Injective,25.89,2530281611,198475481.0,26.58,25.74,-0.45149,2025-01-07T12:32:14.437Z,07-01-2025_18-11-46
theta-token,Theta Network,2.49,2487412982,41484360.0,2.62,2.49,-2.19787,2025-01-07T12:32:19.403Z,07-01-2025_18-11-46
immutable-x,Immutable,1.42,2449711013,89440371.0,1.52,1.42,-2.70001,2025-01-07T12:32:12.001Z,07-01-2025_18-11-46
sonic-3,Sonic,0.751682,2386387479,64844.0,0.879507,0.695082,-4.77352,2025-01-07T12:32:15.349Z,07-01-2025_18-11-46
movement,Movement,1.037,2332967575,426297265.0,1.1,1.027,-1.82588,2025-01-07T12:32:13.892Z,07-01-2025_18-11-46
gatechain-token,Gate,18.37,2310159198,16213669.0,18.54,18.09,1.14374,2025-01-07T12:32:20.643Z,07-01-2025_18-11-46
ai16z,ai16z,2.09,2298761883,558892127.0,2.33,1.96,5.50544,2025-01-07T12:32:17.587Z,07-01-2025_18-11-46
the-graph,The Graph,0.23992,2292876091,69965403.0,0.254783,0.23983,-0.65908,2025-01-07T12:32:17.907Z,07-01-2025_18-11-46
worldcoin-wld,Worldcoin,2.56,2220451366,818355183.0,2.79,2.43,4.15704,2025-01-07T12:32:19.952Z,07-01-2025_18-11-46
binance-peg-weth,Binance-Peg WETH,3631.56,2196515366,71649306.0,3736.19,3625.8,-0.51802,2025-01-07T12:32:18.462Z,07-01-2025_18-11-46
ondo-finance,Ondo,1.5,2175103886,220213587.0,1.59,1.5,-1.16934,2025-01-07T12:32:13.868Z,07-01-2025_18-11-46
coinbase-wrapped-btc,Coinbase Wrapped BTC,100650.0,2137591842,320379800.0,102573.0,98773.0,1.23318,2025-01-07T12:32:18.921Z,07-01-2025_18-11-46
fantom,Fantom,0.753029,2110751795,326874907.0,0.828077,0.752744,-3.82024,2025-01-07T12:32:09.442Z,07-01-2025_18-11-46
dogwifcoin,dogwifhat,2.02,2021208642,357144436.0,2.15,2.02,-1.70491,2025-01-07T12:32:20.054Z,07-01-2025_18-11-46
sei-network,Sei,0.45198,1908595930,120926821.0,0.478753,0.452826,-2.17188,2025-01-07T12:32:15.883Z,07-01-2025_18-11-46
floki,FLOKI,0.0001964,1902175511,294436485.0,0.000206,0.00019625,-0.46653,2025-01-07T12:32:15.682Z,07-01-2025_18-11-46
first-digital-usd,First Digital USD,0.996744,1884973501,5160095263.0,1.011,0.992208,-0.22786,2025-01-07T12:32:09.922Z,07-01-2025_18-11-46
usual-usd,Usual USD,0.999475,1880303886,19572120.0,1.009,0.997294,-0.02248,2025-01-07T12:32:18.710Z,07-01-2025_18-11-46
rocket-pool-eth,Rocket Pool ETH,4071.16,1878491882,6321300.0,4186.85,4065.35,-0.58795,2025-01-07T12:32:15.491Z,07-01-2025_18-11-46
jasmycoin,JasmyCoin,0.03788955,1834396186,145194181.0,0.04077563,0.03773151,-2.89322,2025-01-07T12:32:12.221Z,07-01-2025_18-11-46
kelp-dao-restaked-eth,Kelp DAO Restaked ETH,3745.89,1820962930,1533420.0,3846.11,3744.35,-0.73196,2025-01-07T12:32:11.773Z,07-01-2025_18-11-46
lido-dao,Lido DAO,1.99,1782316886,158842974.0,2.1,1.98,-2.64536,2025-01-07T12:32:14.360Z,07-01-2025_18-11-46
gala,GALA,0.04162225,1764082762,331307992.0,0.04434528,0.04158266,-2.91896,2025-01-07T12:32:20.926Z,07-01-2025_18-11-46
raydium,Raydium,5.85,1700221688,99506500.0,5.84,5.5,5.37363,2025-01-07T12:32:15.506Z,07-01-2025_18-11-46
quant-network,Quant,116.06,1687785902,25663720.0,119.75,115.3,-1.2954,2025-01-07T12:32:14.879Z,07-01-2025_18-11-46
the-sandbox,The Sandbox,0.681555,1664085967,437780805.0,0.737113,0.678604,-2.75928,2025-01-07T12:32:17.915Z,07-01-2025_18-11-46
lombard-staked-btc,Lombard Staked BTC,100609.0,1662928378,2917621.0,101961.0,98724.0,1.12383,2025-01-07T12:32:12.912Z,07-01-2025_18-11-46
mantle-staked-ether,Mantle Staked Ether,3809.27,1648505870,13690614.0,3928.63,3809.05,-0.90621,2025-01-07T12:32:12.759Z,07-01-2025_18-11-46
thorchain,THORChain,4.79,1636633692,267649233.0,5.12,4.77,-2.54917,2025-01-07T12:32:17.573Z,07-01-2025_18-11-46
jupiter-exchange-solana,Jupiter,0.942497,1589341634,85547747.0,0.978491,0.942537,-1.27219,2025-01-07T12:32:13.351Z,07-01-2025_18-11-46
fasttoken,Fasttoken,3.66,1567869032,65835556.0,3.66,3.52,3.24573,2025-01-07T12:32:20.123Z,07-01-2025_18-11-46
flare-networks,Flare,0.02662449,1509541934,11601680.0,0.02762341,0.02659115,-1.78901,2025-01-07T12:32:20.568Z,07-01-2025_18-11-46
tezos,Tezos,1.42,1458804096,53159463.0,1.48,1.42,-3.55542,2025-01-07T12:32:17.504Z,07-01-2025_18-11-46
based-brett,Brett,0.144511,1432139507,61912442.0,0.156066,0.14424,-3.50043,2025-01-07T12:32:20.065Z,07-01-2025_18-11-46
xdce-crowd-sale,XDC Network,0.095943,1432029758,77590446.0,0.103548,0.095393,-3.65914,2025-01-07T12:32:20.214Z,07-01-2025_18-11-46
maker,Maker,1603.15,1431020459,120942754.0,1633.77,1575.16,1.10579,2025-01-07T12:32:13.986Z,07-01-2025_18-11-46
beam-2,Beam,0.02710506,1424388067,39884759.0,0.02935072,0.02709727,-4.20008,2025-01-07T12:32:17.527Z,07-01-2025_18-11-46
binance-staked-sol,Binance Staked SOL,218.13,1421656411,9371160.0,227.96,218.11,-1.53221,2025-01-07T12:32:17.999Z,07-01-2025_18-11-46
pyth-network,Pyth Network,0.386902,1402489162,37492133.0,0.405583,0.386311,-1.90626,2025-01-07T12:32:15.490Z,07-01-2025_18-11-46
nexo,NEXO,1.38,1378222717,8308955.0,1.41,1.36,0.29966,2025-01-07T12:32:15.473Z,07-01-2025_18-11-46
eos,EOS,0.908281,1377553381,130624906.0,0.93889,0.903094,-0.44465,2025-01-07T12:32:09.308Z,07-01-2025_18-11-46
kucoin-shares,KuCoin,11.13,1364442012,164596.0,11.22,10.96,0.17077,2025-01-07T12:32:12.516Z,07-01-2025_18-11-46
solv-btc,Solv Protocol SolvBTC,100435.0,1364322091,10058075.0,102202.0,98644.0,1.17637,2025-01-07T12:32:15.653Z,07-01-2025_18-11-46
iota,IOTA,0.374036,1336509865,94753508.0,0.397739,0.37096,-0.62687,2025-01-07T12:32:17.609Z,07-01-2025_18-11-46
kaia,Kaia,0.225729,1324244946,36261294.0,0.239499,0.226126,-2.83151,2025-01-07T12:32:11.725Z,07-01-2025_18-11-46
spx6900,SPX6900,1.39,1293556734,83319396.0,1.63,1.37,-9.95651,2025-01-07T12:32:16.325Z,07-01-2025_18-11-46
flow,Flow,0.808709,1261098106,92740272.0,0.850078,0.809229,-2.14937,2025-01-07T12:32:09.573Z,07-01-2025_18-11-46
bittorrent,BitTorrent,1.27e-06,1258843334,240653842.0,1.34e-06,1.21e-06,5.28005,2025-01-07T12:32:19.500Z,07-01-2025_18-11-46
curve-dao-token,Curve DAO,0.976383,1233870189,282087843.0,1.04,0.972163,-1.47864,2025-01-07T12:32:20.031Z,07-01-2025_18-11-46
starknet,Starknet,0.507189,1227850123,72233625.0,0.536946,0.50561,-2.68334,2025-01-07T12:32:16.371Z,07-01-2025_18-11-46
aioz-network,AIOZ Network,1.067,1226767036,22883269.0,1.17,1.066,-5.40127,2025-01-07T12:32:16.317Z,07-01-2025_18-11-46
fartcoin,Fartcoin,1.22,1223415747,125970673.0,1.36,1.13,-1.22148,2025-01-07T12:32:19.921Z,07-01-2025_18-11-46
arweave,Arweave,18.48,1209366116,80733125.0,19.86,18.44,-4.09119,2025-01-07T12:32:17.127Z,07-01-2025_18-11-46
ethereum-name-service,Ethereum Name Service,36.38,1207291595,162734909.0,37.99,36.33,-1.44504,2025-01-07T12:32:13.942Z,07-01-2025_18-11-46
msol,Marinade Staked SOL,266.51,1170393480,35352366.0,278.9,266.47,-1.73998,2025-01-07T12:32:13.480Z,07-01-2025_18-11-46
bitcoin-cash-sv,Bitcoin SV,58.64,1164977569,19746314.0,60.08,57.76,1.22276,2025-01-07T12:32:17.775Z,07-01-2025_18-11-46
renzo-restaked-eth,Renzo Restaked ETH,3743.38,1161544029,2529768.0,3848.72,3738.87,-0.69129,2025-01-07T12:32:18.883Z,07-01-2025_18-11-46
dydx-chain,dYdX,1.59,1148659217,59327669.0,1.71,1.59,-1.51509,2025-01-07T12:32:20.046Z,07-01-2025_18-11-46
